type,value,first_seen,confidence,source,notes
domain,vscode-settings-0506.vercel.app,2026-05-13,high,AjunaVerse_MVP/.vscode/tasks.json,Stage-1 OS-specific shell-payload distribution; serves curl|bash / wget|sh / curl|cmd over /api/settings/{mac,linux,windows}; IP-allowlist-gated
domain,ip-core-api-one.vercel.app,2026-05-13,high,AjunaVerse_MVP/.env AUTH_API,Stage-2 Node-loader: receives POST of process.env and returns JS executed via new Function; IP-allowlist-gated
domain-pattern,vscode-settings-*.vercel.app,2026-05-13,medium,naming convention,Likely sibling campaign C2 hosts; -NNNN suffix is plausibly date-encoded
domain-pattern,ip-core-api-*.vercel.app,2026-05-13,medium,naming convention,Likely sibling campaign C2 hosts; -one suffix implies -two/-three exist
ipv4,64.29.17.195,2026-05-13,high,DNS A for vscode-settings-0506.vercel.app,Vercel edge; not stable
ipv4,216.198.79.195,2026-05-13,high,DNS A for vscode-settings-0506.vercel.app,Vercel edge; not stable
ipv4,64.29.17.131,2026-05-13,high,DNS A for ip-core-api-one.vercel.app,Vercel edge; not stable
ipv4,216.198.79.131,2026-05-13,high,DNS A for ip-core-api-one.vercel.app,Vercel edge; not stable
github-org,AjunaWorkHub,2026-04-27,high,GitHub org page,GitHub org id 276264331; hosts AjunaVerse_MVP; created 2026-04-27
github-org,AetSoftWorkHub,2026-04-27,high,GitHub org page,GitHub org id 276275397; hosts AetSoft_MVP with bit-identical tasks.json; created same day as AjunaWorkHub
github-org,DLabsHungary-Hub9,2026-05-13,medium,GitHub code search,Hosts DLabs-Platform-MVP2 with identical loader idiom
github-user,GitWorkHub9,2026-05-13,high,git log of AjunaVerse_MVP,Sole committer of AjunaVerse_MVP; GitHub user id 272514006; commits email fatihafariya8+2@gmail.com
github-user,GitWorkHub99,2026-05-13,high,GitHub user search,GitHub user id 213663943; ~20 credibility-farming clones plus a sibling campaign repo AetSoftVerse
github-repo,AjunaWorkHub/AjunaVerse_MVP,2026-04-27,high,direct review,Subject of this incident; tip at commit bac3362000a9332a490c763feb847995ea412b46 as of 2026-05-13
github-repo,AetSoftWorkHub/AetSoft_MVP,2026-04-27,high,GitHub code search,Bit-identical tasks.json (blob SHA 998c34f02d94169a546b4c36123d552dd14f985b)
github-repo,roamanbuild/OnyxVerse,2026-05-13,high,GitHub code search,Same loader idiom in routes/api/auth.js
github-repo,DLabsHungary-Hub9/DLabs-Platform-MVP2,2026-05-13,high,GitHub code search,Same loader idiom in server/routes/api/auth.js
github-repo,khaleb-dev/jackpot,2026-05-13,high,GitHub code search,Same loader idiom in server/routes/api/auth.js
github-repo,rony1235/Jp-Soccer,2026-05-13,high,GitHub code search,Same loader idiom in server/routes/api/auth.js
